utterance,gold_intent,facts,constraints,allowed_intents,suppressed_intents
why is the zookeeper session expiring frequently,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the log rotation failure on app-server-12,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check why the reverse proxy is dropping headers,investigate,"{'is_question': True, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': False}","['investigate', 'ops', 'summarize']",['execute']
investigate the network buffer overflow on ingress,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the snapshot restore taking longer than expected,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
what caused the lease expiration on the distributed lock,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the memory allocation failure in container,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the cpu steal time on virtual machines,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the database vacuum process not completing,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the socket backlog on the listener,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
check the semaphore deadlock in the process pool,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the page cache thrashing issue,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the io scheduler causing write starvation,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
what is causing the tcp connection reset by peer,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
look into the systemd service restart loop,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
investigate the kernel soft lockup warnings,investigate,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
why is the cgroup memory limit being exceeded,investigate,"{'is_question': True, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': True, 'prefer_investigate_when_uncertain': True}","['investigate', 'ops', 'summarize']",['execute']
analyze the numa imbalance on the multi-socket server,investigate,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart nginx on host123,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale the api service to 5 replicas,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
clear disk space on server alpha,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the remediation playbook for cpu spike,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply security patch on db-server-7,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart application server,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale up the database replica,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
kill the hanging process,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
clear cache on all nodes,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the load balancer,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply configuration changes,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
rollback the deployment,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
start backup job,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
stop the runaway query,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
reset network interface,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
clear log files,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart monitoring agent,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
flush dns cache,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
rebuild index on table,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart container,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale down resources,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable circuit breaker,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
trigger failover,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
drain connections gracefully,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
reset application state,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart background worker,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply rate limiting,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable request throttling,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
purge old logs,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
vacuum database,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart api gateway,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale message queue,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply hotfix,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
reset error counters,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable debug logging,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart health check,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
force garbage collection,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply network policy,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart session manager,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale job scheduler,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply backup retention policy,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart log aggregator,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable auto-healing,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply security rules,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart cluster coordinator,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale data cache,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply database migration,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart service mesh,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable tracing,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
deploy the latest build to staging,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
rotate the ssl certificates on all endpoints,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provision a new ec2 instance for the web tier,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
stop all running containers on host-9,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
update the firewall rules to allow port 8443,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
migrate the database schema to version 3.2,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
resize the persistent volume to 500gb,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the kafka broker on node-3,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
terminate the zombie processes,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
create a snapshot of the production database,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable maintenance mode on the website,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
disable the feature flag for dark mode,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
scale the worker pool to 20 instances,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
flush the redis cache completely,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
redeploy the microservice with the fix,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the auto-scaling policy for peak hours,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
mount the nfs share on the batch server,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the data integrity check script,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
rotate the api keys for third party integrations,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
update the dns records for the new ip,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the elasticsearch cluster rolling,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable write-ahead logging on the database,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
switch traffic to the blue deployment,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
increase the connection pool size to 200,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the certificate renewal automation,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
disable the deprecated api endpoint,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
execute the database cleanup stored procedure,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
start the canary deployment for version 4.1,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
set up the vpn tunnel to the partner network,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable gzip compression on the web server,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the kernel security update and reboot,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
initialize the new replica set member,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the load test against staging environment,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the log shipping to the siem,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable the new rate limit policy globally,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
evict stale entries from the distributed cache,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the cron scheduler service,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the terraform plan for infrastructure changes,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
update the helm chart values and upgrade release,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
provision additional read replicas for the database,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
reconfigure the reverse proxy routing rules,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
bounce the application pool in iis,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
start the disaster recovery failover procedure,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
compress and archive the old log files,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable ssl termination on the load balancer,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
update the oauth client credentials,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
rebalance the kafka topic partitions,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
set the jvm heap size to 8gb and restart,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
deploy the hotfix to all production nodes,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable cross-origin resource sharing headers,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the ansible playbook for server hardening,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
trigger the ci cd pipeline for the release branch,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
reset the admin password on the management console,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the health check interval to 30 seconds,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable persistent connections on the proxy,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the vacuum full on the postgres database,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
set up the monitoring alerts for the new service,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
decommission the old server from the cluster,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
enable binary logging on the mysql primary,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
apply the network acl changes to the subnet,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
restart the prometheus and grafana stack,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
execute the blue green deployment switch,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
increase the file descriptor limit to 65535,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
run the chaos engineering test on staging,execution,"{'is_question': False, 'has_imperative': True, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
configure the backup schedule for hourly snapshots,execution,"{'is_question': False, 'has_imperative': False, 'has_temporal_ref': False}","{'question_blocks_execute': False, 'prefer_investigate_when_uncertain': False}","['execute', 'investigate', 'ops', 'summarize']",[]
