utterance,gold_intent,parsed_intent,entity,symptom,time_context,reasoning_mode
who is stephen hawking,out_of_scope,out_of_scope,kubernetes_node,,,reject
who is marco polo,out_of_scope,out_of_scope,kubernetes_node,,,reject
what is the tallest building in the world,out_of_scope,out_of_scope,,,,reject
what is artificial intelligence,out_of_scope,out_of_scope,kubernetes_node,,,reject
tell me about the french revolution,out_of_scope,out_of_scope,message_queue,,,reject
provide a recap of the change management decisions,summarization,summarization,dns,,,reporting
what caused the deployment to break backward compatibility,investigate,investigate,deployment,,,diagnostic
give me a summary of the disk growth trends by volume,summarization,summarization,disk_io,,,reporting
summarize service status,summarization,summarization,service,,,reporting
tell me about the french impressionism,out_of_scope,out_of_scope,message_queue,,,reject
provide an overview of the deployment activity this sprint,summarization,summarization,deployment,,,reporting
tell me about rainforests,out_of_scope,out_of_scope,,,,reject
check what is causing the container image pull failure,investigate,investigate,container_image,failure,,diagnostic
give me an overview of the user-facing error rate trends,summarization,summarization,error_budget,error,,reporting
enable the continuous profiling on the service,execution,execution,service,,,action
summarize the inter-service call failure rates,summarization,summarization,service,failure,,reporting
summarize the infrastructure readiness for the launch,summarization,out_of_scope,,,,reject
add the new disk to the lvm volume group,execution,execution,disk_io,,,action
how do birds navigate during migration,out_of_scope,out_of_scope,,,,reject
flush the connection state on the stateful firewall,execution,out_of_scope,,,,reject
investigate the evicted pods in the production namespace,investigate,investigate,pod,,,diagnostic
enable the request coalescing on the cache layer,execution,execution,cache,,,action
what is your favorite color,out_of_scope,out_of_scope,kubernetes_node,,,reject
tell me about the sumerians,out_of_scope,out_of_scope,message_queue,,,reject
what is zoology,out_of_scope,out_of_scope,logs,,,reject
how do I make a smoothie,out_of_scope,out_of_scope,,,,reject
why is the persistent volume not being bound,investigate,investigate,message_ack,,,diagnostic
give me a summary of the failed deployments this month,summarization,summarization,deployment,failure,,reporting
flush the varnish cache for the stale content,execution,execution,cache,,,action
summarize the monitoring coverage by service tier,summarization,summarization,service,,,reporting
who is virginia woolf,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide ecosystem summary,summarization,out_of_scope,,,,reject
set up the monitoring alerts for the new service,execution,execution,service,,,action
why are there conflicting iptables rules,investigate,out_of_scope,,,,reject
summarize test results,summarization,summarization,load_test,,,reporting
summarize the dependency freshness across repositories,summarization,summarization,service,,,reporting
delete the unused container images on all nodes,execution,execution,kubernetes_node,,,action
configure the max in-flight requests for the service,execution,execution,service,,,action
why is the object lock conflicting with replication,investigate,investigate,storage,,,diagnostic
what caused the database query plan regression,investigate,investigate,database,,,diagnostic
apply the terraform changes to the dev environment,execution,out_of_scope,,,,reject
purge old logs,execution,execution,logs,,,action
what is sculpture,out_of_scope,out_of_scope,kubernetes_node,,,reject
analyze the failed health probes in the cluster,investigate,investigate,kubernetes_cluster,failure,,diagnostic
what is plate tectonics,out_of_scope,out_of_scope,kubernetes_node,,,reject
look into the http connection pool timeout,investigate,investigate,connection_pool,timeout,,diagnostic
provide a recap of the database deadlock frequency,summarization,summarization,database,,,reporting
tell me about the seven wonders of the world,out_of_scope,out_of_scope,message_queue,,,reject
give me a recap of the storage utilization trends,summarization,summarization,storage,,,reporting
how does the aurora borealis form,out_of_scope,out_of_scope,message_queue,,,reject
tell me about the battle of waterloo,out_of_scope,out_of_scope,message_queue,,,reject
update the tls cipher suite configuration,execution,execution,tls,,,action
run the data migration script for the new schema,execution,execution,message_queue,,,action
how do I make my own hot sauce,out_of_scope,out_of_scope,,,,reject
summarize the network topology changes this sprint,summarization,summarization,logs,,,reporting
investigate the sudden increase in 5xx errors,investigate,investigate,message_queue,error,,diagnostic
summarize the open incidents and their current state,summarization,summarization,incident,,,reporting
give me an overview of the read write ratio by service,summarization,summarization,service,,,reporting
tell me about the ming emperors,out_of_scope,out_of_scope,message_queue,,,reject
why is the object store showing inconsistent reads,investigate,investigate,storage,,,diagnostic
analyze the latency spikes during peak hours,investigate,investigate,message_queue,latency_high,,diagnostic
what is cellular respiration,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me a summary of the certificate status across services,summarization,summarization,certificate,,,reporting
increase the connection pool size to 200,execution,execution,connection_pool,,,action
what caused the thundering herd on cache expiry,investigate,investigate,cache,,,diagnostic
why is the rpc client timing out during service restart,investigate,investigate,service,timeout,,diagnostic
what is causing the repeated connection draining on alb,investigate,investigate,connection_pool,,,diagnostic
investigate the config map update causing service restart,investigate,investigate,service,,,diagnostic
how do I make coffee,out_of_scope,out_of_scope,,,,reject
restart background worker,execution,execution,pod,,,action
what is the history of the olympic games,out_of_scope,out_of_scope,,,,reject
how do I make mead,out_of_scope,out_of_scope,,,,reject
apply the updated service account iam bindings,execution,execution,service,,,action
provide a recap of the service discovery health checks,summarization,summarization,service,,,reporting
investigate the database slowdown,investigate,investigate,database,slow,,diagnostic
provide a brief on the release deployment frequency,summarization,summarization,deployment,,,reporting
configure the codeowners file for the new team,execution,execution,message_queue,,,action
apply the storage class changes for the volumes,execution,execution,storage,,,action
provide a brief on the security incident response timeline,summarization,summarization,incident,,,reporting
summarize the operational readiness review findings,summarization,summarization,message_queue,,,reporting
provide a recap of the planned maintenance windows,summarization,summarization,message_queue,,,reporting
who wrote pride and prejudice,out_of_scope,out_of_scope,,,,reject
why did health check fail,investigate,investigate,health_check,failure,,diagnostic
why is the dns lookup causing increased latency,investigate,investigate,dns,latency_high,,diagnostic
investigate the anomalously high network egress cost,investigate,investigate,cost_trends,,,diagnostic
mount the nfs share on the batch server,execution,out_of_scope,,,,reject
tell me about tigers,out_of_scope,out_of_scope,,,,reject
summarize dependency status,summarization,summarization,service,,,reporting
provide a recap of the service-level objectives this period,summarization,summarization,service,,,reporting
provide a recap of the slow transaction breakdown,summarization,summarization,kafka,slow,,reporting
how do I start composting,out_of_scope,out_of_scope,,,,reject
give me rollback summary,summarization,out_of_scope,,,,reject
why is the cgroup memory limit being exceeded,investigate,investigate,message_ack,,,diagnostic
summarize the capacity planning recommendations,summarization,summarization,message_queue,,,reporting
why is the load test showing degraded throughput,investigate,investigate,load_test,degraded,,diagnostic
investigate queue backlog,investigate,investigate,message_queue,,,diagnostic
tell me about sports,out_of_scope,out_of_scope,,,,reject
scale up the database replica,execution,execution,database,,,action
run the network policy connectivity test,execution,execution,network_policy,,,action
who is copernicus,out_of_scope,out_of_scope,kubernetes_node,,,reject
summarize the uptime trend for payment services,summarization,summarization,payment_service,,,reporting
who is the author of harry potter,out_of_scope,out_of_scope,,,,reject
how do I learn to swim,out_of_scope,out_of_scope,,,,reject
restart api gateway,execution,execution,api_gateway,,,action
investigate the flaky test failures in ci environment,investigate,investigate,,failure,,diagnostic
investigate the connection leak in the service,investigate,investigate,service,leak,,diagnostic
check why the distributed lock is not being released,investigate,investigate,message_ack,,,diagnostic
tell me about whales,out_of_scope,out_of_scope,,,,reject
summarize the api response times over the past month,summarization,summarization,api,latency_high,past_month,reporting
give me an overview of the error distribution across services,summarization,summarization,service,error,,reporting
what is the national animal of australia,out_of_scope,out_of_scope,,,,reject
what is astronomy,out_of_scope,out_of_scope,kubernetes_node,,,reject
close the inactive elasticsearch indices,execution,execution,message_queue,,,action
why is the primary database not accepting connections,investigate,investigate,database,,,diagnostic
set up the pagerduty escalation policy,execution,execution,network_policy,,,action
update the oauth client credentials,execution,execution,message_queue,,,action
give me an overview of the request success rate by service,summarization,summarization,service,,,reporting
summarize resource usage,summarization,summarization,resource_quota,,,reporting
provide an overview of the deployment lead time trends,summarization,summarization,deployment,,,reporting
what is a tidal wave,out_of_scope,out_of_scope,kubernetes_node,,,reject
analyze the io latency breakdown on nvme drives,investigate,investigate,disk_io,latency_high,,diagnostic
summarize alert trends,summarization,summarization,alerting,,,reporting
summarize the storage tier migration progress,summarization,summarization,storage,,,reporting
summarize the feature flag rollout status,summarization,summarization,service,,,reporting
check why the health check endpoint is slow,investigate,investigate,health_check,slow,,diagnostic
apply hotfix,execution,out_of_scope,,,,reject
why are the pod logs showing oom killed errors,investigate,investigate,pod,error,,diagnostic
apply the signed commit requirement on main branch,execution,execution,consumer_group,,,action
why is the pod eviction disrupting the stateful workload,investigate,investigate,pod,,,diagnostic
how do I grow a bonsai tree,out_of_scope,out_of_scope,,,,reject
apply the egress network policy,execution,execution,network_policy,,,action
give me an overview of the telemetry pipeline health,summarization,summarization,ci_cd_pipeline,,,reporting
what is machine learning,out_of_scope,out_of_scope,kubernetes_node,,,reject
configure the vault policy for the new service,execution,execution,service,,,action
run the dependency update bot on the repository,execution,execution,message_queue,,,action
give me a summary of the log ingestion volume trends,summarization,summarization,logs,,,reporting
flush the iptables nat rules,execution,execution,message_queue,,,action
investigate the ssl renegotiation overhead,investigate,investigate,message_queue,,,diagnostic
create the ingress rule for the new subdomain,execution,out_of_scope,,,,reject
set up the bulkhead pattern for the downstream service,execution,execution,service,,,action
provide a brief on the disaster recovery drill results,summarization,summarization,message_queue,,,reporting
give me a summary of the top services by error volume,summarization,summarization,service,error,,reporting
disable the feature flag for dark mode,execution,execution,message_queue,,,action
analyze the socket backlog on the listener,investigate,investigate,logs,,,diagnostic
provide a brief on the traffic split during the canary,summarization,summarization,message_queue,,,reporting
archive the old build artifacts from the registry,execution,execution,message_queue,,,action
give me a summary of the feature flag states in production,summarization,summarization,message_queue,,,reporting
summarize the service deprecation and migration status,summarization,summarization,service,,,reporting
how do I make cheese at home,out_of_scope,out_of_scope,,,,reject
why are database writes slowing down,investigate,investigate,database,slow,,diagnostic
run the storage filesystem consistency check,execution,execution,storage,,,action
set the resource limits on the logging sidecar,execution,execution,logs,,,action
what is pharmacology,out_of_scope,out_of_scope,logs,,,reject
why is disk usage at 90 percent,investigate,investigate,disk_io,,,diagnostic
give me an overview of the deployment environment parity,summarization,summarization,deployment,,,reporting
run the performance benchmark suite,execution,out_of_scope,,,,reject
trigger the automated rollback procedure,execution,execution,message_queue,,,action
what caused the breach of the sla threshold,investigate,investigate,availability_sla,,,diagnostic
restart the coredns deployment after config change,execution,execution,dns,,,action
look into the nfs mount hanging issue,investigate,investigate,message_queue,,,diagnostic
provide health check summary,summarization,summarization,health_check,,,reporting
upgrade the worker node pool to the target version,execution,execution,kubernetes_node,,,action
investigate the concurrent write conflicts in the db,investigate,investigate,database,,,diagnostic
what is causing the connection reset errors,investigate,investigate,connection_pool,error,,diagnostic
how do I play soccer,out_of_scope,out_of_scope,,,,reject
why did the kubernetes job fail,investigate,investigate,kubernetes_node,failure,,diagnostic
block the suspicious ip range at the firewall,execution,execution,message_queue,,,action
what is causing the jitter in the rpc response times,investigate,investigate,,latency_high,,diagnostic
restart the load balancer,execution,execution,load_balancer,,,action
how do I make limoncello,out_of_scope,out_of_scope,,,,reject
what is photosynthesis,out_of_scope,out_of_scope,kubernetes_node,,,reject
who is socrates,out_of_scope,out_of_scope,kubernetes_node,,,reject
tell me about owls,out_of_scope,out_of_scope,,,,reject
apply database migration,execution,execution,database,,,action
what is a proton,out_of_scope,out_of_scope,kubernetes_node,,,reject
investigate the 502 bad gateway errors on frontend,investigate,investigate,api_gateway,error,,diagnostic
summarize the synthetic monitoring test results,summarization,summarization,load_test,,,reporting
what caused the raft consensus timeout,investigate,investigate,message_queue,timeout,,diagnostic
what is the history of coffee,out_of_scope,out_of_scope,,,,reject
drain and replace the node for os upgrade,execution,execution,kubernetes_node,,,action
kill the hanging process,execution,execution,message_queue,,,action
provide an overview of the technical debt remediation,summarization,summarization,message_queue,,,reporting
how do I knit a sweater,out_of_scope,out_of_scope,,,,reject
tell me about books,out_of_scope,out_of_scope,,,,reject
terminate a random pod to test resilience,execution,execution,pod,,,action
configure the async io thread pool size,execution,execution,connection_pool,,,action
provide a recap of the api contract violations,summarization,summarization,api,,,reporting
tell me a joke,out_of_scope,out_of_scope,,,,reject
apply the jit compiler optimization flags,execution,execution,message_queue,,,action
vacuum database,execution,execution,database,,,action
summarize the message queue throughput metrics,summarization,summarization,message_queue,,,reporting
how do I make bread,out_of_scope,out_of_scope,,,,reject
tell me about the black plague,out_of_scope,out_of_scope,message_queue,,,reject
investigate the high read amplification factor on lsm,investigate,investigate,read_replicas,,,diagnostic
what is an atom,out_of_scope,out_of_scope,kubernetes_node,,,reject
investigate why the service is not reachable,investigate,investigate,service,,,diagnostic
run the disk defragmentation on the storage volume,execution,execution,storage,,,action
trigger the argocd sync for the production environment,execution,out_of_scope,,,,reject
repair the xfs filesystem after unclean shutdown,execution,execution,message_queue,,,action
investigate the page cache thrashing issue,investigate,investigate,cache,,,diagnostic
provide a recap of the release deployment lead time,summarization,summarization,deployment,,,reporting
set the kubernetes api server admission webhook,execution,execution,api,,,action
enable the ddos protection on the edge layer,execution,execution,message_queue,,,action
apply the network policy to restrict egress,execution,execution,network_policy,,,action
check if the api latency is correlated to gc pauses,investigate,investigate,api,latency_high,,diagnostic
configure the log retention policy to 90 days,execution,execution,logs,,,action
apply the helm values override for the hotfix,execution,execution,message_queue,,,action
who is harriet tubman,out_of_scope,out_of_scope,kubernetes_node,,,reject
check the correlation between cpu spike and deployments,investigate,investigate,deployment,spike,,diagnostic
analyze performance metrics,investigate,investigate,metrics,,,diagnostic
how do I build a small pond,out_of_scope,out_of_scope,,,,reject
why is the zookeeper session expiring frequently,investigate,out_of_scope,,,,reject
configure the sonarqube quality gate policy,execution,execution,network_policy,,,action
give me an overview of the data consistency check results,summarization,summarization,health_check,,,reporting
provide a recap of the resolved alerts from overnight,summarization,summarization,alerting,,,reporting
what is dark energy,out_of_scope,out_of_scope,kubernetes_node,,,reject
what caused the service to skip the retry logic,investigate,investigate,service,,,diagnostic
clear log files,execution,execution,logs,,,action
apply the cpu and memory limits to all pods,execution,execution,pod,,,action
how do I build a go-kart,out_of_scope,out_of_scope,,,,reject
investigate the cluster node reporting not ready,investigate,investigate,kubernetes_node,not_ready,,diagnostic
summarize the changes made during the maintenance window,summarization,out_of_scope,,,,reject
how do I paint a wall,out_of_scope,out_of_scope,,,,reject
give me an overview of the pipeline execution times,summarization,summarization,ci_cd_pipeline,,,reporting
how do I make turkish coffee,out_of_scope,out_of_scope,,,,reject
check what is causing the increased tail latency,investigate,investigate,health_check,latency_high,,diagnostic
summarize the deployment frequency by team,summarization,summarization,deployment,,,reporting
clean up the stale branches from the remote,execution,execution,message_queue,,,action
disable the debug endpoint on the production service,execution,execution,service,,,action
tell me about history,out_of_scope,out_of_scope,,,,reject
provide a recap of the rate limiting effectiveness,summarization,summarization,rate_limiting,,,reporting
give me latency summary,summarization,summarization,,latency_high,,reporting
who was the first person to climb everest,out_of_scope,out_of_scope,message_queue,,,reject
who painted the sistine chapel,out_of_scope,out_of_scope,message_queue,,,reject
what is quantum entanglement,out_of_scope,out_of_scope,kubernetes_node,,,reject
tell me about ancient egypt,out_of_scope,out_of_scope,,,,reject
investigate the unexpected data loss after failover,investigate,investigate,message_queue,failure,,diagnostic
how do I make risotto,out_of_scope,out_of_scope,,,,reject
run the cluster upgrade preflight checks,execution,execution,kubernetes_cluster,,,action
summarize network traffic,summarization,summarization,network_policy,,,reporting
provide a brief on the backup storage growth rate,summarization,summarization,backup,,,reporting
summarize troubleshooting steps,summarization,out_of_scope,,,,reject
provide a recap of the service migration progress,summarization,summarization,service,,,reporting
reconfigure the bgp session with the upstream provider,execution,execution,message_queue,,,action
what is photon,out_of_scope,out_of_scope,kubernetes_node,,,reject
rebuild index on table,execution,out_of_scope,,,,reject
what caused the service failure,investigate,investigate,service,failure,,diagnostic
trigger failover,execution,execution,,failure,,action
why are there too many open file descriptors,investigate,out_of_scope,,,,reject
increase the file descriptor limit to 65535,execution,execution,message_queue,,,action
set up the upstream health checks on nginx,execution,execution,health_check,,,action
investigate the frequent leader re-elections in raft,investigate,investigate,message_queue,,,diagnostic
restart the prometheus and grafana stack,execution,execution,message_queue,,,action
rotate the kubelet serving certificates,execution,execution,certificate,,,action
investigate the cpu steal time on virtual machines,investigate,investigate,message_queue,,,diagnostic
who composed the four seasons,out_of_scope,out_of_scope,message_queue,,,reject
what caused the connection refused on the rpc port,investigate,out_of_scope,,,,reject
provide a brief on the ml model serving latency trends,summarization,summarization,cost_trends,latency_high,,reporting
apply the backpressure policy to the queue consumer,execution,execution,message_queue,,,action
apply the external secrets operator configuration,execution,execution,message_queue,,,action
what is sociology,out_of_scope,out_of_scope,logs,,,reject
why is the database vacuum process not completing,investigate,investigate,database,not_completing,,diagnostic
how do I learn ballet,out_of_scope,out_of_scope,,,,reject
tell me about the moon landing,out_of_scope,out_of_scope,message_queue,,,reject
execute the database cleanup stored procedure,execution,execution,database,,,action
why is the consumer group rebalancing frequently,investigate,investigate,consumer_group,,,diagnostic
give me a recap of the infrastructure as code changes,summarization,summarization,cost_anomalies,,,reporting
give me cost summary,summarization,summarization,cost_trends,,,reporting
why is the storage iops quota being exceeded,investigate,investigate,storage,,,diagnostic
summarize the incident from yesterday,summarization,summarization,incident,,yesterday,reporting
configure the cgroup memory limit for the container,execution,out_of_scope,,,,reject
run the backup verification on the latest snapshot,execution,execution,backup,,,action
investigate the metadata server latency spike,investigate,investigate,metrics_server,latency_high,,diagnostic
what is the law of conservation of mass,out_of_scope,out_of_scope,,,,reject
restart cluster coordinator,execution,execution,kubernetes_cluster,,,action
summarize the database query performance trends,summarization,summarization,database,,,reporting
tell me about the amazon river,out_of_scope,out_of_scope,message_queue,,,reject
how do I change a tire,out_of_scope,out_of_scope,dns,,,reject
who wrote the great gatsby,out_of_scope,out_of_scope,message_queue,,,reject
give me an overview of the security scanning results,summarization,summarization,message_queue,,,reporting
who wrote les miserables,out_of_scope,out_of_scope,,,,reject
show me errors from the last deployment,investigate,investigate,deployment,error,,diagnostic
who built the eiffel tower,out_of_scope,out_of_scope,message_queue,,,reject
what is biology,out_of_scope,out_of_scope,logs,,,reject
give me compliance summary,summarization,out_of_scope,,,,reject
investigate cpu spike on web-server-3,investigate,investigate,metrics_server,spike,,diagnostic
run the certificate renewal automation,execution,execution,certificate,,,action
what is democracy,out_of_scope,out_of_scope,kubernetes_node,,,reject
trigger the database vacuum on the large table,execution,execution,database,,,action
investigate memory fragmentation,investigate,out_of_scope,,,,reject
who discovered gravity,out_of_scope,out_of_scope,,,,reject
enable ssl termination on the load balancer,execution,execution,load_balancer,,,action
what caused the lease expiration on the distributed lock,investigate,out_of_scope,,,,reject
who is aristotle,out_of_scope,out_of_scope,kubernetes_node,,,reject
provide a recap of the tracing coverage expansion,summarization,summarization,distributed_tracing,,,reporting
analyze the checkpoint failure on the database,investigate,investigate,database,failure,,diagnostic
silence the alert during the planned maintenance,execution,out_of_scope,,,,reject
what is an isotope,out_of_scope,out_of_scope,kubernetes_node,,,reject
give me a summary of the observability coverage,summarization,summarization,observability_stack,,,reporting
create the read replica in the secondary region,execution,out_of_scope,,,,reject
how do I make ghee,out_of_scope,out_of_scope,,,,reject
how do I do push ups,out_of_scope,out_of_scope,,,,reject
how do I make jam,out_of_scope,out_of_scope,,,,reject
who won the tour de france recently,out_of_scope,out_of_scope,message_queue,,recent,reject
what is causing the recurring service crash,investigate,investigate,service,crash,,diagnostic
enable the opa policy enforcement,execution,execution,network_policy,,,action
tell me about the phoenician alphabet,out_of_scope,out_of_scope,message_queue,,,reject
summarize the canary deployment observations,summarization,summarization,deployment,,,reporting
summarize the monthly infrastructure cost report,summarization,summarization,cost_trends,,,reporting
summarize configuration changes,summarization,out_of_scope,,,,reject
summarize the platform availability monthly report,summarization,summarization,incident,,,reporting
run the certificate expiry check across all services,execution,execution,certificate,,,action
provide maintenance summary,summarization,out_of_scope,,,,reject
test the service-to-service communication path,execution,execution,service,,,action
why is the service container starting but not ready,investigate,investigate,service,not_ready,,diagnostic
tell me about the hundred years war,out_of_scope,out_of_scope,message_queue,,,reject
provide a recap of the infrastructure cost anomalies,summarization,summarization,cost_trends,,,reporting
summarize the mean time between failures report,summarization,summarization,tls,failure,,reporting
how do I learn to cook,out_of_scope,out_of_scope,,,,reject
tell me about hummingbirds,out_of_scope,out_of_scope,,,,reject
what is the fastest animal on earth,out_of_scope,out_of_scope,,,,reject
summarize the cross-team dependency updates,summarization,summarization,message_queue,,,reporting
summarize the service dependency changes this sprint,summarization,summarization,service,,,reporting
reindex the elasticsearch data to the new mapping,execution,execution,message_queue,,,action
summarize the auto-remediation success rate this sprint,summarization,summarization,rate_limiting,,,reporting
check what is causing the recurring storage disconnection,investigate,investigate,storage,,,diagnostic
enable gzip compression on the web server,execution,execution,metrics_server,,,action
run the game day scenario for database failover,execution,execution,database,failure,,action
configure the weighted routing between blue and green,execution,execution,blue_green_deployment,,,action
apply the salt state to the target nodes,execution,execution,kubernetes_node,,,action
how do I make hard candy,out_of_scope,out_of_scope,,,,reject
why is the CDN cache invalidation not working,investigate,investigate,cache,,,diagnostic
give me an overview of the system resource allocation,summarization,summarization,resource_quota,,,reporting
what is oceanography,out_of_scope,out_of_scope,kubernetes_node,,,reject
why is application responding slowly,investigate,investigate,kubernetes_node,slow,,diagnostic
flush the redis cache completely,execution,execution,cache,,,action
provide a recap of the compliance violation findings,summarization,summarization,message_queue,,,reporting
how do I learn how to juggle,out_of_scope,out_of_scope,,,,reject
how do I solve a rubiks cube,out_of_scope,out_of_scope,,,,reject
what is molecular biology,out_of_scope,out_of_scope,logs,,,reject
provide a recap of the runbook effectiveness metrics,summarization,summarization,metrics,,,reporting
what caused the split brain in the cluster,investigate,investigate,kubernetes_cluster,,,diagnostic
tell me about machu picchu,out_of_scope,out_of_scope,,,,reject
run the index optimization on the search cluster,execution,execution,kubernetes_cluster,,,action
configure the sudoers file with the new rule,execution,out_of_scope,,,,reject
provide a recap of the cross-region failover tests,summarization,summarization,message_queue,failure,,reporting
investigate the failure in the distributed snapshot,investigate,investigate,volume_snapshot,failure,,diagnostic
tell me about the berlin wall,out_of_scope,out_of_scope,message_queue,,,reject
why did the scheduled task miss its window,investigate,investigate,backup,,,diagnostic
restart the failing csi driver pods,execution,execution,pod,failure,,action
what is mitosis,out_of_scope,out_of_scope,kubernetes_node,,,reject
how do I make kimchi fried rice,out_of_scope,out_of_scope,,,,reject
what is cryptocurrency,out_of_scope,out_of_scope,kubernetes_node,,,reject
set up the cross-region replication,execution,execution,message_queue,,,action
update the grafana dashboard with new panels,execution,execution,message_queue,,,action
force the kustomize overlay apply,execution,execution,message_queue,,,action
summarize the access control audit results,summarization,summarization,network_policy,,,reporting
provide a brief on the volume of support tickets versus incidents,summarization,summarization,incident,,,reporting
investigate the http 429 rate limit errors from upstream,investigate,investigate,rate_limiting,error,,diagnostic
what caused the outage last night,investigate,investigate,message_queue,,last_night,diagnostic
what is causing high memory on app-01,investigate,investigate,kubernetes_node,,,diagnostic
provide performance summary,summarization,summarization,load_test,,,reporting
enable the dast scan in the staging pipeline,execution,execution,ci_cd_pipeline,,,action
how do I grow succulents,out_of_scope,out_of_scope,,,,reject
investigate the repeated pod scheduling failures,investigate,investigate,pod,failure,,diagnostic
summarize the container orchestration metrics,summarization,summarization,metrics,,,reporting
how do volcanoes form,out_of_scope,out_of_scope,,,,reject
run the data integrity check script,execution,execution,health_check,,,action
check what is slowing down the ci build pipeline,investigate,investigate,ci_cd_pipeline,slow,,diagnostic
why did backup job fail,investigate,investigate,backup,failure,,diagnostic
summarize the memory usage trends across the fleet,summarization,out_of_scope,,,,reject
who invented the internet,out_of_scope,out_of_scope,message_queue,,,reject
how do I make kefir,out_of_scope,out_of_scope,,,,reject
backup the etcd snapshot to object storage,execution,execution,etcd,,,action
why is the cpu user time unexpectedly high,investigate,out_of_scope,,,,reject
enable the connection rate limiting on haproxy,execution,execution,reverse_proxy,,,action
investigate the log level misconfiguration causing noise,investigate,investigate,logs,,,diagnostic
why is the thread pool saturated,investigate,investigate,connection_pool,,,diagnostic
what is impressionism in art,out_of_scope,out_of_scope,kubernetes_node,,,reject
analyze the cpu throttling events in the cgroup,investigate,investigate,message_queue,,,diagnostic
why did the database go down,investigate,investigate,database,,,diagnostic
enable binary logging on the mysql primary,execution,execution,logs,,,action
why is the api client receiving truncated responses,investigate,investigate,api,,,diagnostic
check what went wrong with deployment,investigate,investigate,deployment,,,diagnostic
summarize scaling events,summarization,out_of_scope,,,,reject
what is robotics,out_of_scope,out_of_scope,kubernetes_node,,,reject
analyze resource constraints,investigate,investigate,resource_quota,,,diagnostic
investigate the clock skew between nodes,investigate,investigate,kubernetes_node,,,diagnostic
give me a summary of failed jobs in the last 24 hours,summarization,summarization,cron_job,failure,last_24_hours,reporting
why is the api gateway returning 503,investigate,investigate,api_gateway,,,diagnostic
summarize the service mesh telemetry for the past week,summarization,summarization,service_mesh,,past,reporting
configure the auto-scaling policy for peak hours,execution,execution,network_policy,,,action
look into the inode exhaustion on the log partition,investigate,investigate,kubernetes_node,,,diagnostic
run the memory bandwidth benchmark on the server,execution,out_of_scope,,,,reject
give me an overview of the graceful degradation events,summarization,summarization,message_queue,degraded,,reporting
analyze the change in baseline memory usage,investigate,investigate,dns,,,diagnostic
analyze the heap dump for memory leak,investigate,investigate,message_queue,leak,,diagnostic
investigate the cpu pinning misconfiguration on host,investigate,investigate,message_queue,,,diagnostic
what is the theory of relativity,out_of_scope,out_of_scope,,,,reject
summarize the alert fatigue metrics for the team,summarization,summarization,metrics,,,reporting
provide a recap of the operational load by team this month,summarization,summarization,load_test,,,reporting
investigate cluster node failure,investigate,investigate,kubernetes_node,failure,,diagnostic
who is nikola tesla,out_of_scope,out_of_scope,availability_sla,,,reject
what is dna,out_of_scope,out_of_scope,kubernetes_node,,,reject
enable the new rate limit policy globally,execution,execution,network_policy,,,action
delete the unused cluster role bindings,execution,execution,kubernetes_cluster,,,action
provide a brief on the container security scan coverage,summarization,summarization,container_image,,,reporting
give me an overview of the synthetic monitor pass rates,summarization,summarization,message_queue,,,reporting
restore the etcd snapshot from the backup,execution,execution,etcd,,,action
how do I build a birdhouse,out_of_scope,out_of_scope,,,,reject
export and import the zfs pool after migration,execution,execution,connection_pool,,,action
summarize the on-call escalation patterns this quarter,summarization,summarization,message_queue,,this_quarter,reporting
what is ecology,out_of_scope,out_of_scope,logs,,,reject
tell me about art,out_of_scope,out_of_scope,,,,reject
purge the cdn cache for the updated assets,execution,execution,cache,,,action
investigate the slow recovery after leader failover,investigate,investigate,kafka,failure,,diagnostic
how do I ferment vegetables,out_of_scope,out_of_scope,,,,reject
restart the fluentd log forwarder on all nodes,execution,execution,kubernetes_node,,,action
enable the vault audit logging,execution,execution,logs,,,action
why is the message broker not consuming messages,investigate,investigate,message_queue,,,diagnostic
enable the cpu quota enforcement on the tenant,execution,out_of_scope,,,,reject
check why the health endpoint is returning stale data,investigate,investigate,health_check,,,diagnostic
why are database transactions taking so long,investigate,investigate,database,,,diagnostic
what is causing the api to return incomplete data,investigate,investigate,api,,,diagnostic
scale data cache,execution,execution,cache,,,action
deploy the database proxy layer,execution,execution,reverse_proxy,,,action
analyze the failed readiness probes in staging,investigate,investigate,message_queue,failure,,diagnostic
provide an overview of the monitoring coverage gaps,summarization,summarization,message_queue,,,reporting
how do I make pizza dough,out_of_scope,out_of_scope,,,,reject
summarize the network egress cost by region,summarization,summarization,cost_trends,,,reporting
run the dependency vulnerability scan,execution,execution,message_queue,,,action
investigate what is causing the memory balloon in vm,investigate,out_of_scope,,,,reject
reset error counters,execution,execution,error_budget,error,,action
restart the flapping pods after the node recovery,execution,execution,kubernetes_node,,,action
give me a summary of the infrastructure drift detected,summarization,summarization,cost_anomalies,,,reporting
investigate the cold start latency in serverless functions,investigate,investigate,message_queue,latency_high,,diagnostic
give me a summary of the platform capacity model output,summarization,summarization,incident,,,reporting
investigate deadlock in database,investigate,investigate,database,,,diagnostic
investigate the replication stream lag on postgres,investigate,investigate,message_queue,,,diagnostic
check what is triggering the oom killer,investigate,investigate,health_check,,,diagnostic
resize the persistent volume to 500gb,execution,execution,volume_snapshot,,,action
