utterance,intent,entity_type,domain_valid,source,is_infrastructure,is_service,is_metric,is_incident,is_job,is_pipeline,is_unknown,is_sre_domain,has_runbook,is_known_incident,is_metric_query
what is plate tectonics,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
look into the http connection pool timeout,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
provide a recap of the database deadlock frequency,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
tell me about the seven wonders of the world,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a recap of the storage utilization trends,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
how does the aurora borealis form,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about the battle of waterloo,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
update the tls cipher suite configuration,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
run the data migration script for the new schema,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
how do I make my own hot sauce,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the network topology changes this sprint,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
investigate the sudden increase in 5xx errors,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
summarize the open incidents and their current state,summarization,incident,1,level5_base,0,0,0,1,0,0,0,0,0,0,0
give me an overview of the read write ratio by service,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
tell me about the ming emperors,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the object store showing inconsistent reads,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
analyze the latency spikes during peak hours,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
what is cellular respiration,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a summary of the certificate status across services,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
increase the connection pool size to 200,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
what caused the thundering herd on cache expiry,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
why is the rpc client timing out during service restart,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
what is causing the repeated connection draining on alb,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
investigate the config map update causing service restart,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
how do I make coffee,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
restart background worker,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
what is the history of the olympic games,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I make mead,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
apply the updated service account iam bindings,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
provide a recap of the service discovery health checks,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
investigate the database slowdown,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
provide a brief on the release deployment frequency,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
configure the codeowners file for the new team,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
apply the storage class changes for the volumes,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
provide a brief on the security incident response timeline,summarization,incident,1,level5_base,0,0,0,1,0,0,0,1,0,1,0
summarize the operational readiness review findings,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
provide a recap of the planned maintenance windows,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
who wrote pride and prejudice,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why did health check fail,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,0
why is the dns lookup causing increased latency,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,1
investigate the anomalously high network egress cost,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,1
mount the nfs share on the batch server,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about tigers,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize dependency status,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
provide a recap of the service-level objectives this period,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
provide a recap of the slow transaction breakdown,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
how do I start composting,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me rollback summary,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,1,0,0
why is the cgroup memory limit being exceeded,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
summarize the capacity planning recommendations,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
why is the load test showing degraded throughput,investigate,job,1,level5_base,0,0,0,0,1,0,0,1,0,0,1
investigate queue backlog,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
tell me about sports,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
scale up the database replica,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
run the network policy connectivity test,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
who is copernicus,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the uptime trend for payment services,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,1
who is the author of harry potter,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I learn to swim,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
restart api gateway,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
investigate the flaky test failures in ci environment,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the connection leak in the service,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
check why the distributed lock is not being released,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
tell me about whales,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the api response times over the past month,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
give me an overview of the error distribution across services,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
what is the national animal of australia,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is astronomy,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
close the inactive elasticsearch indices,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
why is the primary database not accepting connections,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
set up the pagerduty escalation policy,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,1,0
update the oauth client credentials,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
give me an overview of the request success rate by service,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
summarize resource usage,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,1
provide an overview of the deployment lead time trends,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
what is a tidal wave,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
analyze the io latency breakdown on nvme drives,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,1
summarize alert trends,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,1,0
summarize the storage tier migration progress,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the feature flag rollout status,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
check why the health check endpoint is slow,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,0
apply hotfix,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,1,0,0
why are the pod logs showing oom killed errors,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
apply the signed commit requirement on main branch,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
why is the pod eviction disrupting the stateful workload,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
how do I grow a bonsai tree,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
apply the egress network policy,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
give me an overview of the telemetry pipeline health,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
what is machine learning,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
configure the vault policy for the new service,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
run the dependency update bot on the repository,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
give me a summary of the log ingestion volume trends,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,0
flush the iptables nat rules,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
investigate the ssl renegotiation overhead,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
create the ingress rule for the new subdomain,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
set up the bulkhead pattern for the downstream service,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
provide a brief on the disaster recovery drill results,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
give me a summary of the top services by error volume,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
disable the feature flag for dark mode,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
analyze the socket backlog on the listener,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
provide a brief on the traffic split during the canary,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
archive the old build artifacts from the registry,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
give me a summary of the feature flag states in production,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
summarize the service deprecation and migration status,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
how do I make cheese at home,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why are database writes slowing down,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,1,0
run the storage filesystem consistency check,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
set the resource limits on the logging sidecar,execution,metric,1,level5_base,0,0,1,0,0,0,0,0,1,0,0
what is pharmacology,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is disk usage at 90 percent,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,1
give me an overview of the deployment environment parity,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
run the performance benchmark suite,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,1,0,0
trigger the automated rollback procedure,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
what caused the breach of the sla threshold,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,1
restart the coredns deployment after config change,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
look into the nfs mount hanging issue,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
provide health check summary,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,0
upgrade the worker node pool to the target version,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
investigate the concurrent write conflicts in the db,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
what is causing the connection reset errors,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
how do I play soccer,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why did the kubernetes job fail,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
block the suspicious ip range at the firewall,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
what is causing the jitter in the rpc response times,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
restart the load balancer,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
how do I make limoncello,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is photosynthesis,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
who is socrates,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about owls,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
apply database migration,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
what is a proton,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the 502 bad gateway errors on frontend,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the synthetic monitoring test results,summarization,job,1,level5_base,0,0,0,0,1,0,0,0,0,0,0
what caused the raft consensus timeout,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
what is the history of coffee,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
drain and replace the node for os upgrade,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
kill the hanging process,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
provide an overview of the technical debt remediation,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
how do I knit a sweater,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about books,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
terminate a random pod to test resilience,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
configure the async io thread pool size,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
provide a recap of the api contract violations,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
tell me a joke,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
apply the jit compiler optimization flags,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
vacuum database,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the message queue throughput metrics,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
how do I make bread,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about the black plague,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the high read amplification factor on lsm,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
what is an atom,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate why the service is not reachable,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
run the disk defragmentation on the storage volume,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
trigger the argocd sync for the production environment,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,1,0,0
repair the xfs filesystem after unclean shutdown,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
investigate the page cache thrashing issue,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
provide a recap of the release deployment lead time,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
set the kubernetes api server admission webhook,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
enable the ddos protection on the edge layer,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
apply the network policy to restrict egress,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
check if the api latency is correlated to gc pauses,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
configure the log retention policy to 90 days,execution,metric,1,level5_base,0,0,1,0,0,0,0,1,1,0,0
apply the helm values override for the hotfix,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
who is harriet tubman,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
check the correlation between cpu spike and deployments,investigate,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,1,1
analyze performance metrics,investigate,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
how do I build a small pond,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the zookeeper session expiring frequently,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
configure the sonarqube quality gate policy,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
give me an overview of the data consistency check results,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
provide a recap of the resolved alerts from overnight,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
what is dark energy,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what caused the service to skip the retry logic,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
clear log files,execution,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,0
apply the cpu and memory limits to all pods,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,1
how do I build a go-kart,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the cluster node reporting not ready,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the changes made during the maintenance window,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I paint a wall,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me an overview of the pipeline execution times,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
how do I make turkish coffee,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
check what is causing the increased tail latency,investigate,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,1
summarize the deployment frequency by team,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
clean up the stale branches from the remote,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
disable the debug endpoint on the production service,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
tell me about history,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a recap of the rate limiting effectiveness,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
give me latency summary,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,1,0,0,1
who was the first person to climb everest,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
who painted the sistine chapel,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is quantum entanglement,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about ancient egypt,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate the unexpected data loss after failover,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
how do I make risotto,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
run the cluster upgrade preflight checks,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
summarize network traffic,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
provide a brief on the backup storage growth rate,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize troubleshooting steps,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a recap of the service migration progress,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
reconfigure the bgp session with the upstream provider,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
what is photon,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
rebuild index on table,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
what caused the service failure,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,1,0
trigger failover,execution,unknown,1,level5_base,0,0,0,0,0,0,1,0,1,0,0
why are there too many open file descriptors,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
increase the file descriptor limit to 65535,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
set up the upstream health checks on nginx,execution,metric,1,level5_base,0,0,1,0,0,0,0,0,1,0,0
investigate the frequent leader re-elections in raft,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
restart the prometheus and grafana stack,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,1
rotate the kubelet serving certificates,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
investigate the cpu steal time on virtual machines,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,1
who composed the four seasons,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what caused the connection refused on the rpc port,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a brief on the ml model serving latency trends,summarization,metric,1,level5_base,0,0,1,0,0,0,0,1,0,0,1
apply the backpressure policy to the queue consumer,execution,service,1,level5_base,0,1,0,0,0,0,0,1,1,0,0
apply the external secrets operator configuration,execution,service,1,level5_base,0,1,0,0,0,0,0,0,1,0,0
what is sociology,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
why is the database vacuum process not completing,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
how do I learn ballet,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about the moon landing,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
execute the database cleanup stored procedure,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
why is the consumer group rebalancing frequently,investigate,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
give me a recap of the infrastructure as code changes,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
give me cost summary,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,1
why is the storage iops quota being exceeded,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
summarize the incident from yesterday,summarization,incident,1,level5_base,0,0,0,1,0,0,0,1,0,1,0
configure the cgroup memory limit for the container,execution,unknown,1,level5_base,0,0,0,0,0,0,1,1,1,0,1
run the backup verification on the latest snapshot,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
investigate the metadata server latency spike,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,1,1
what is the law of conservation of mass,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
restart cluster coordinator,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
summarize the database query performance trends,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,0,0
tell me about the amazon river,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I change a tire,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
who wrote the great gatsby,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me an overview of the security scanning results,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
who wrote les miserables,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
show me errors from the last deployment,investigate,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
who built the eiffel tower,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is biology,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me compliance summary,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
investigate cpu spike on web-server-3,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,1,1
run the certificate renewal automation,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
what is democracy,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
trigger the database vacuum on the large table,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
investigate memory fragmentation,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,1,0,0,1
who discovered gravity,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
enable ssl termination on the load balancer,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
what caused the lease expiration on the distributed lock,investigate,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
who is aristotle,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a recap of the tracing coverage expansion,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
analyze the checkpoint failure on the database,investigate,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,0,1,0
silence the alert during the planned maintenance,execution,unknown,1,level5_base,0,0,0,0,0,0,1,1,0,1,0
what is an isotope,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
give me a summary of the observability coverage,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,0
create the read replica in the secondary region,execution,unknown,1,level5_base,0,0,0,0,0,0,1,1,0,0,0
how do I make ghee,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I do push ups,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
how do I make jam,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
who won the tour de france recently,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is causing the recurring service crash,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,1,0
enable the opa policy enforcement,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,1,0,0
tell me about the phoenician alphabet,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the canary deployment observations,summarization,pipeline,1,level5_base,0,0,0,0,0,1,0,1,0,0,0
summarize the monthly infrastructure cost report,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,1
summarize configuration changes,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the platform availability monthly report,summarization,incident,1,level5_base,0,0,0,1,0,0,0,0,0,0,0
run the certificate expiry check across all services,execution,infrastructure,1,level5_base,1,0,0,0,0,0,0,1,1,0,0
provide maintenance summary,summarization,unknown,1,level5_base,0,0,0,0,0,0,1,0,0,0,0
test the service-to-service communication path,execution,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
why is the service container starting but not ready,investigate,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
tell me about the hundred years war,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
provide a recap of the infrastructure cost anomalies,summarization,metric,1,level5_base,0,0,1,0,0,0,0,0,0,0,1
summarize the mean time between failures report,summarization,infrastructure,1,level5_base,1,0,0,0,0,0,0,0,0,0,0
how do I learn to cook,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
tell me about hummingbirds,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
what is the fastest animal on earth,out_of_scope,unknown,0,level5_base,0,0,0,0,0,0,1,0,0,0,0
summarize the cross-team dependency updates,summarization,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
summarize the service dependency changes this sprint,summarization,service,1,level5_base,0,1,0,0,0,0,0,1,0,0,0
reindex the elasticsearch data to the new mapping,execution,service,1,level5_base,0,1,0,0,0,0,0,0,0,0,0
